timestamp,temperature,pressure
0,20.0,1.0
30,20.0,1.0
60,20.0,1.0
90,20.0,1.0
120,20.0,1.0
150,20.0,1.0
180,20.0,1.0
210,20.0,1.0
240,20.0,1.0
270,20.0,1.0
300,121.5,2.1
330,121.5,2.1
360,121.5,2.1
390,121.5,2.1
420,121.5,2.1
450,121.5,2.1
480,121.5,2.1
510,121.5,2.1
540,121.5,2.1
570,121.5,2.1
600,121.5,2.1
630,121.5,2.1
660,121.5,2.1
690,121.5,2.1
720,121.5,2.1
750,121.5,2.1
780,121.5,2.1
810,121.5,2.1
840,121.5,2.1
870,121.5,2.1
900,121.5,2.1
930,121.5,2.1
960,121.5,2.1
990,121.5,2.1
1020,121.5,2.1
1050,121.5,2.1
1080,121.5,2.1
1110,121.5,2.1
1140,121.5,2.1
1170,121.5,2.1
1200,121.5,2.1
1230,121.5,2.1
1260,121.5,2.1
1290,121.5,2.1
1320,121.5,2.1
1350,121.5,2.1
1380,121.5,2.1
1410,121.5,2.1
1440,121.5,2.1
1470,121.5,2.1
1500,80.0,1.0
1530,80.0,1.0
1560,80.0,1.0
1590,80.0,1.0
1620,80.0,1.0
1650,80.0,1.0
1680,80.0,1.0
1710,80.0,1.0
1740,80.0,1.0
1770,80.0,1.0
1800,80.0,1.0
1830,80.0,1.0
1860,80.0,1.0
1890,80.0,1.0
1920,80.0,1.0
1950,80.0,1.0
1980,80.0,1.0
2010,80.0,1.0
2040,80.0,1.0
2070,80.0,1.0
2100,80.0,1.0
2130,80.0,1.0
2160,80.0,1.0
2190,80.0,1.0
2220,80.0,1.0
2250,80.0,1.0
2280,80.0,1.0
2310,80.0,1.0
2340,80.0,1.0
2370,80.0,1.0
